Easiest Location (for top items),Item,Type,Subtype,Flavor,Power,ACC,DEF,INI,Elem.,Aff.,Skill,Skill,Min LV,Rarity,Cost,Region,Region,Region,Region,Attribute,Attribute,Attribute,Attribute,Item
,Cyclops Eye,Accessory,Eye,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,7560,Imperia,,,,,,,,Cyclops Eye
,Dark Jackal's Eye,Accessory,Eye,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Jackal's Eye
,Dervish's Eye,Accessory,Eye,plain,0,,,,,,MoveToAttackUP,,1,Common,12960,Expanse,,,,,,,,Dervish's Eye
,Eagle's Eye,Accessory,Eye,plain,0,,,,Air ,10,,,1,Rare,1188,Steppes,,,,,,,,Air Eagle's Eye
,Glass Eye,Accessory,Eye,plain,0,,,,,,NegateBlind,,1,Frequent,7380,Expanse,,,,,,,,Glass Eye
,Light Valkyrie's Eye,Accessory,Eye,plain,0,,,,Light ,10,,,1,Rare,1188,Imperia,,,,,,,,Light Valkyrie's Eye
,Samnite's Eye,Accessory,Eye,plain,0,,,,,,HPUP,,1,Infrequent,6048,Expanse,,,,,,,,Samnite's Eye
,Serpent's Eye,Accessory,Eye,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Serpent's Eye
,Tiger's Eye,Accessory,Eye,plain,0,,,,,,CriticalAttackUP,,1,Frequent,10332,Steppes,,,,,,,,Tiger's Eye
,Tortoise's Eye,Accessory,Eye,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Tortoise's Eye
,Dark Vulture Feather,Accessory,Feather,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Vulture Feather
,Eagle Feather,Accessory,Feather,plain,0,,,,,,MoveUP,,1,Very Rare,12672,Nordagh,,,,,,,,Eagle Feather
,Falcon Feather,Accessory,Feather,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Expanse,,,,,,,,Falcon Feather
,Feather of Safat,Accessory,Feather,plain,0,,,,Air ,10,,,1,Rare,1188,Expanse,,,,,,,,Air Feather of Safat
,Garuda Feather,Accessory,Feather,plain,0,,,,,,NegateCritical,,1,Infrequent,18144,Steppes,,,,,,,,Garuda Feather
,Griffin Feather,Accessory,Feather,plain,0,,,,,,StrengthUP,,1,Infrequent,12096,Imperia,,,,,,,,Griffin Feather
,Hawk Feather,Accessory,Feather,plain,0,,,,,,NegateBlind,,1,Frequent,8856,Nordagh,,,,,,,,Hawk Feather
,Hippogriff Feather,Accessory,Feather,plain,0,,,,,,BoostPP,,1,Common,8640,Imperia,,,,,,,,Hippogriff Feather
,Ibis Feather,Accessory,Feather,plain,0,,,,,,HPUP,,1,Infrequent,9072,Expanse,,,,,,,,Ibis Feather
,Light Pegasus Feather,Accessory,Feather,plain,0,,,,Light ,10,,,1,Rare,1188,Imperia,,,,,,,,Light Pegasus Feather
,Owl Feather,Accessory,Feather,plain,0,,,,,,NegateCharmConfusion,,1,Rare,9288,Nordagh,,,,,,,,Owl Feather
,Peacock Feather,Accessory,Feather,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,9072,Imperia,,,,,,,,Peacock Feather
,Phoenix Feather,Accessory,Feather,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Phoenix Feather
,Quetzalcoatl Feather,Accessory,Feather,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Quetzalcoatl Feather
,Raven's Feather,Accessory,Feather,plain,0,,5,,,,,,1,Infrequent,11664,Steppes,,,,,,,,Raven's Feather
,Sphinx Feather,Accessory,Feather,plain,0,,,,Earth ,10,,,1,Rare,1188,Expanse,,,,,,,,Earth Sphinx Feather
,Amber,Accessory,Jewel,plain,0,,5,,,,,,1,Infrequent,7776,Nordagh,,,,,,,,Amber
,Amethyst,Accessory,Jewel,plain,0,,,,,,NegatePoison,,1,Frequent,8856,Steppes,,,,,,,,Amethyst
,Aquamarine,Accessory,Jewel,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Aquamarine
,Bloodstone,Accessory,Jewel,plain,0,,,,,,AlwaysFace,,1,Infrequent,9072,Nordagh,,,,,,,,Bloodstone
,Coral,Accessory,Jewel,plain,0,,,,,,HPUP,,1,Infrequent,3024,Imperia,,,,,,,,Coral
,Crystal,Accessory,Jewel,plain,0,,,,Air ,10,,,1,Rare,1188,Nordagh,,,,,,,,Air Crystal
,Dark Onyx,Accessory,Jewel,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Nordagh,,,,,,,,Dark Onyx
,Emerald,Accessory,Jewel,plain,0,,,,Earth ,10,,,1,Rare,1188,Expanse,,,,,,,,Earth Emerald
,Garnet,Accessory,Jewel,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Nordagh,,,,,,,,Garnet
,Jade,Accessory,Jewel,plain,0,,,,,,MoveToAttackUP,,1,Common,5760,Steppes,,,,,,,,Jade
,Jet,Accessory,Jewel,plain,0,,,10,,,,,1,Very Rare,14688,Imperia,,,,,,,,Jet
,Light Diamond,Accessory,Jewel,plain,0,,,,Light ,10,,,1,Rare,1188,Imperia,,,,,,,,Light Diamond
,Moonstone,Accessory,Jewel,plain,0,,,,,,NegateCritical,,1,Infrequent,18144,Expanse,,,,,,,,Moonstone
,Quartz,Accessory,Jewel,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Expanse,,,,,,,,Quartz
,Ruby,Accessory,Jewel,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Ruby
,Sapphire,Accessory,Jewel,plain,0,,,,,,AffinityX2,,1,Very Rare,12672,Expanse,,,,,,,,Sapphire
,Dark Badge of Mortuus,Accessory,Medal,Mutuus,0,,,,Dark ,10,,,1,Rare,1188,Expanse,,,,,,,,Dark Badge of Mortuus
,Badge of Aeris,Accessory,Medal,plain,0,,,,Air ,10,,,1,Rare,1188,Steppes,,,,,,,,Air Badge of Aeris
,Badge of Exuro,Accessory,Medal,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Badge of Exuro
,Badge of Maritimus,Accessory,Medal,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Badge of Maritimus
,Badge of Solum,Accessory,Medal,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Badge of Solum
,Emperor's Insignia,Accessory,Medal,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Imperia,,,,,,,,Emperor's Insignia
,Impervious Heart,Accessory,Medal,plain,0,,5,,,,,,1,Infrequent,7776,Nordagh,,,,,,,,Impervious Heart
,Iron Fist,Accessory,Medal,plain,0,,,,,,NegateCritical,,1,Infrequent,18144,Nordagh,,,,,,,,Iron Fist
,Iron Will,Accessory,Medal,plain,0,,,,,,NegateCharmConfusion,,1,Rare,6192,Nordagh,,,,,,,,Iron Will
,Medal of Bravery,Accessory,Medal,plain,0,,,,,,AlwaysFace,,1,Infrequent,9072,Imperia,,,,,,,,Medal of Bravery
,Medal of Rank,Accessory,Medal,plain,0,,,,,,BuffUP,,1,Very Rare,3168,Imperia,,,,Classspecific,,,,Medal of Rank
,Medal of Stature,Accessory,Medal,plain,0,,,,,,HPUP,,1,Infrequent,3024,Expanse,,,,,,,,Medal of Stature
,Medal of Valor,Accessory,Medal,plain,0,,,,,,BoostPP,,1,Common,5760,Steppes,,,,,,,,Medal of Valor
,War Hero,Accessory,Medal,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Imperia,,,,,,,,War Hero
,Warrior's Medal,Accessory,Medal,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Steppes,,,,,,,,Warrior's Medal
,Aquamarine Pendant,Accessory,Necklace,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Aquamarine Pendant
,Assassin's Necklace,Accessory,Necklace,plain,0,,,,,,AmbushUP,,1,Very Rare,3168,Expanse,,,,,,,,Assassin's Necklace
,Chain Necklace,Accessory,Necklace,plain,0,,,,,,HPUP,,1,Infrequent,3024,Nordagh,,,,,,,,Chain Necklace
,Clay Pendant,Accessory,Necklace,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Clay Pendant
,Dancer's Necklace,Accessory,Necklace,plain,0,,,,,,MoveToAttackUP,,1,Common,5760,Expanse,,,,,,,,Dancer's Necklace
,Dark Bone Pendant,Accessory,Necklace,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Bone Pendant
,Heirloom Pendant,Accessory,Necklace,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Imperia,,,,,,,,Heirloom Pendant
,Iron Pendant,Accessory,Necklace,plain,0,,,,,,NegateCritical,,1,Infrequent,18144,Nordagh,,,,,,,,Iron Pendant
,Lace Necklace,Accessory,Necklace,plain,0,,,,Air ,10,,,1,Rare,1188,Imperia,,,,,,,,Air Lace Necklace
,Leather Choker,Accessory,Necklace,plain,0,,5,,,,,,1,Infrequent,7776,Steppes,,,,,,,,Leather Choker
,Light Gold Necklace,Accessory,Necklace,plain,0,,,,Light ,10,,,1,Rare,1188,Expanse,,,,,,,,Light Gold Necklace
,Necklace of Vigilance,Accessory,Necklace,plain,0,,,,,,AlwaysFace,,1,Infrequent,9072,Steppes,,,,,,,,Necklace of Vigilance
,Olympic Necklace,Accessory,Necklace,plain,0,,,,,,RangeUP,,1,Very Rare,19008,Imperia,,,,,,,,Olympic Necklace
,Pendant of the Valkyrie,Accessory,Necklace,plain,0,,,,,,CriticalAttackUP,,1,Very Rare,9504,Imperia,,,,,,,,Pendant of the Valkyrie
,Ranger's Necklace,Accessory,Necklace,plain,0,,,,,,MoveUP,,1,Very Rare,12672,Imperia,,,,,,,,Ranger's Necklace
,Ruby Pendant,Accessory,Necklace,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Ruby Pendant
,Tooth Necklace,Accessory,Necklace,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Nordagh,,,,,,,,Tooth Necklace
,A Jingle for Me,Accessory,Poem,Plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Imperia,Nordagh,Steppes,,,,,,A Jingle for Me
,Dark Death's March,Accessory,Poem,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Death's March
,Doggerel of Defense,Accessory,Poem,plain,0,,5,,,,,,1,Infrequent,7776,Expanse,,,,,,,,Doggerel of Defense
,Elegy of Perception,Accessory,Poem,plain,0,,,,,,NegateCharmConfusion,,1,Rare,6192,Nordagh,,,,,,,,Elegy of Perception
,From the Cup,Accessory,Poem,plain,0,,,,,,HPUP,,1,Infrequent,3024,Expanse,,,,,,,,From the Cup
,Light The Pledge to Light,Accessory,Poem,plain,0,,,,Light ,10,,,1,Rare,1188,Imperia,,,,,,,,Light The Pledge to Light
,Lion's Pride,Accessory,Poem,Plain,0,,,,,,AlwaysFace,,1,Infrequent,9072,Steppes,,,,Classspecific,,,,Lion's Pride
,Ode to Aeris,Accessory,Poem,plain,0,,,,Air ,10,,,1,Rare,1188,Steppes,,,,,,,,Air Ode to Aeris
,Plea for Strength,Accessory,Poem,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Imperia,,,,,,,,Plea for Strength
,Plead to Maritimus,Accessory,Poem,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Plead to Maritimus
,Rise of the Mediocre,Accessory,Poem,plain,0,5,,,,,,,1,Common,9000,Nordagh,,,,,,,,Rise of the Mediocre
,Showman's Rhyme,Accessory,Poem,plain,0,,,,,,BoostPP,,1,Common,5760,Imperia,,,,,,,,Showman's Rhyme
,Solum Rises,Accessory,Poem,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Solum Rises
,Strength of the Fire,Accessory,Poem,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Strength of the Fire
,Traveler's Verse,Accessory,Poem,plain,0,,,,,,MoveUP,,1,Very Rare,12672,Steppes,,,,,,,,Traveler's Verse
,What it Takes,Accessory,Poem,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Expanse,,,,,,,,What it Takes
,Mysterious Tablet,Accessory,Quest,Plain,0,,,,,,,,1,Unique,1440,,,,,Unsellable,,,,Mysterious Tablet
,Mysterious Tablet 2,Accessory,Quest,Plain,0,,,,,,,,1,Unique,1440,,,,,Unsellable,,,,Mysterious Tablet 2
,qstLoyalist Prize,Accessory,Quest,Plain,0,,,,,,,,1,Very Rare,1728,,,,,Unsellable,,,,qstLoyalist Prize
,Signet of the Valkyrie,Accessory,Quest,Plain,0,,,,,,,,1,Unique,1440,,,,,Unsellable,,,,Signet of the Valkyrie
,The Promise Stone,Accessory,Quest,Plain,0,,,,,,,,1,Unique,1440,Expanse,,,,Unsellable,,,,The Promise Stone
,Yeti Head,Accessory,Quest,Plain,0,,,,,,,,1,Unique,1440,,,,,Tracked,Unsellable,,,Yeti Head
,Band of the Emperor,Accessory,Ring,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Imperia,,,,,,,,Band of the Emperor
,Dark Ring of Mortuus,Accessory,Ring,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Ring of Mortuus
,Gladiatorial Legend,Accessory,Ring,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Imperia,,,,,,,,Gladiatorial Legend
,Golden Ring,Accessory,Ring,plain,0,,,,,,HPUP,,1,Infrequent,3024,Expanse,,,,,,,,Golden Ring
,Jeweled Ring,Accessory,Ring,plain,0,,,,,,AffinityX2,,1,Very Rare,9504,Expanse,,,,,,,,Jeweled Ring
,Light Ring of Victus,Accessory,Ring,plain,0,,,,Light ,10,,,1,Rare,1188,Imperia,,,,,,,,Light Ring of Victus
,Ring of Aeris,Accessory,Ring,plain,0,,,,Air ,10,,,1,Rare,1188,Steppes,,,,,,,,Air Ring of Aeris
,Ring of Exuro,Accessory,Ring,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Ring of Exuro
,Ring of Honor,Accessory,Ring,plain,0,,,,,,BoostPP,,1,Common,5760,Imperia,,,,,,,,Ring of Honor
,Ring of Maritimus,Accessory,Ring,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Ring of Maritimus
,Ring of Might,Accessory,Ring,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Nordagh,,,,,,,,Ring of Might
,Ring of Purity,Accessory,Ring,plain,0,,,,,,NegatePoison,,1,Frequent,5904,Imperia,,,,,,,,Ring of Purity
,Ring of Refuge,Accessory,Ring,plain,0,,,,,,MoveToAttackUP,,1,Common,5760,Nordagh,,,,,,,,Ring of Refuge
,Ring of Solum,Accessory,Ring,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Ring of Solum
,Ring of the Brave,Accessory,Ring,plain,0,,,,,,AlwaysFace,,1,Infrequent,9072,Steppes,,,,,,,,Ring of the Brave
,Titanium Ring,Accessory,Ring,plain,0,,5,,,,,,1,Infrequent,7776,Expanse,,,,,,,,Titanium Ring
,Algiz,Accessory,Runestone,plain,0,,,,,,NegateCritical,,1,Infrequent,18144,Steppes,,,,,,,,Algiz
,Ansuz,Accessory,Runestone,plain,0,,,,,,AffinityX2,,1,Very Rare,12672,Expanse,,,,,,,,Ansuz
,Berkana,Accessory,Runestone,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Berkana
,Dark Eihwaz,Accessory,Runestone,Plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Eihwaz
,Eow,Accessory,Runestone,plain,0,,,,,,MoveToAttackUP,,1,Very Rare,12672,Imperia,,,,,,,,Eow
,Gebo,Accessory,Runestone,plain,0,,,,,,BoostPP,,1,Common,5760,Expanse,,,,,,,,Gebo
,Hagalaz,Accessory,Runestone,plain,0,,,,Air ,10,,,1,Rare,1188,Nordagh,,,,,,,,Air Hagalaz
,Ingwaz,Accessory,Runestone,plain,0,,,,,,HPUP,,1,Infrequent,3024,Steppes,,,,,,,,Ingwaz
,Kenaz,Accessory,Runestone,plain,0,,,,Fire ,10,,,1,Rare,1188,Nordagh,,,,,,,,Fire Kenaz
,Lauguz,Accessory,Runestone,plain,0,,,,,,NegateBlind,,1,Frequent,5904,Steppes,,,,,,,,Lauguz
,Light Fehu,Accessory,Runestone,plain,0,,,,Light ,10,,,1,Rare,1188,Nordagh,,,,,,,,Light Fehu
,Mannaz,Accessory,Runestone,plain,0,,,,Water ,10,,,1,Rare,1188,Expanse,,,,,,,,Water Mannaz
,Sowilo,Accessory,Runestone,plain,0,,5,,,,,,1,Infrequent,7776,Nordagh,,,,,,,,Sowilo
,Tiewaz,Accessory,Runestone,plain,0,,,,,,AlwaysFace,,1,Infrequent,9072,Imperia,,,,,,,,Tiewaz
,Uruz,Accessory,Runestone,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Steppes,,,,,,,,Uruz
,Wunjo,Accessory,Runestone,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Imperia,,,,,,,,Wunjo
,Dark Death Shroud,Accessory,Sash,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Death Shroud
,Flowing Sash,Accessory,Sash,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Flowing Sash
,Fur Wrap,Accessory,Sash,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Fur Wrap
,Lace Wrap,Accessory,Sash,plain,0,,,,Air ,10,,,1,Rare,1188,Imperia,,,,,,,,Air Lace Wrap
,Leather Sash,Accessory,Sash,plain,0,,,,,,NegateCritical,,1,Infrequent,15120,Nordagh,,,,,,,,Leather Sash
,Light Batiste Wrap,Accessory,Sash,plain,0,,,,Light ,10,,,1,Rare,1188,Imperia,,,,,,,,Light Batiste Wrap
,Liquid Wrap,Accessory,Sash,plain,0,,,,,,RangeUP,,1,Very Rare,19008,Imperia,,,,,,,,Liquid Wrap
,Magical Sash,Accessory,Sash,plain,0,,,,,,MagicUP,,1,Infrequent,3024,Expanse,,,,,,,,Magical Sash
,Ornate Sash,Accessory,Sash,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Expanse,,,,,,,,Ornate Sash
,Shroud of the Night,Accessory,Sash,plain,0,,,,,,NegateCharmConfusion,,1,Rare,6192,Steppes,,,,,,,,Shroud of the Night
,Silken Sash,Accessory,Sash,plain,0,,,,,,MoveToAttackUP,,1,Common,5760,Imperia,,,,,,,,Silken Sash
,Thief's Sash,Accessory,Sash,plain,0,,,,,,StealAffinity,,1,Rare,15480,Steppes,,,,,,,,Thief's Sash
,Velvet Sash,Accessory,Sash,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Velvet Sash
,Woolen Sash,Accessory,Sash,Plain,0,,5,,,,,,1,Infrequent,7776,Nordagh,,,,,,,,Woolen Sash
,Boar's Scalp,Accessory,Scalp,plain,0,,,,Air ,10,,,1,Rare,1188,Nordagh,,,,,,,,Air Boar's Scalp
,Dark Valkyrie's Scalp,Accessory,Scalp,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Nordagh,,,,,,,,Dark Valkyrie's Scalp
,Dervish's Scalp,Accessory,Scalp,plain,0,,,,,,MoveToAttackUP,,1,Common,12960,Steppes,,,,,,,,Dervish's Scalp
,Eagle's Scalp,Accessory,Scalp,plain,0,,,,Earth ,10,,,1,Rare,1188,Expanse,,,,,,,,Earth Eagle's Scalp
,Galdr's Scalp,Accessory,Scalp,plain,0,,,,,,RegenHP,,1,Very Rare,22176,Imperia,,,,,,,,Galdr's Scalp
,Giant's Scalp,Accessory,Scalp,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Expanse,,,,,,,,Giant's Scalp
,Light Corpse's Scalp,Accessory,Scalp,plain,0,,,,Light ,10,,,1,Rare,1188,Expanse,,,,,,,,Light Corpse's Scalp
,Minotaur's Scalp,Accessory,Scalp,plain,0,,,,,,NegateCritical,,1,Infrequent,18144,Steppes,,,,,,,,Minotaur's Scalp
,Mongrel's Scalp,Accessory,Scalp,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,7560,Steppes,,,,,,,,Mongrel's Scalp
,Mummy's Scalp,Accessory,Scalp,plain,0,,,,,,AutoReviveHalf,,1,Very Rare,22176,Expanse,,,,,,,,Mummy's Scalp
,Ogre's Scalp,Accessory,Scalp,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,7560,Imperia,,,,,,,,Ogre's Scalp
,Phoenix Scalp,Accessory,Scalp,plain,0,,,,Water ,10,,,1,Rare,1188,Steppes,,,,,,,,Water Phoenix Scalp
,Samnite's Scalp,Accessory,Scalp,plain,0,,,,,,HPUP,,1,Infrequent,6048,Expanse,,,,,,,,Samnite's Scalp
,Satyr's Scalp,Accessory,Scalp,plain,0,,,,,,NegateCharmConfusion,,1,Rare,7740,Imperia,,,,,,,,Satyr's Scalp
,Soldier's Scalp,Accessory,Scalp,plain,0,,,,,,AlwaysFace,,1,Infrequent,12096,Nordagh,,,,,,,,Soldier's Scalp
,Tortoise's Scalp,Accessory,Scalp,plain,0,,,,Fire ,10,,,1,Rare,1188,Imperia,,,,,,,,Fire Tortoise's Scalp
,Warrior's Scalp,Accessory,Scalp,plain,0,,5,,,,,,1,Infrequent,11664,Steppes,,,,,,,,Warrior's Scalp
,Bear Tooth,Accessory,Tooth,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Nordagh,,,,,,,,Bear Tooth
,Boar Tooth,Accessory,Tooth,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Boar Tooth
,Buffalo Tooth,Accessory,Tooth,plain,0,,5,,,,,,1,Infrequent,5832,Steppes,,,,,,,,Buffalo Tooth
,Cat Tooth,Accessory,Tooth,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,7560,Expanse,,,,,,,,Cat Tooth
,Crocodile Tooth,Accessory,Tooth,plain,0,,,,,,NegateCritical,,1,Infrequent,18144,Expanse,,,,,,,,Crocodile Tooth
,Dark Jackal Tooth,Accessory,Tooth,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Jackal Tooth
,Eagle Beak,Accessory,Tooth,plain,0,,,,Air ,10,,,1,Rare,1188,Nordagh,,,,,,,,Air Eagle Beak
,Horse Tooth,Accessory,Tooth,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Steppes,,,,,,,,Horse Tooth
,Hyena Tooth,Accessory,Tooth,plain,0,,,,,,BerserkON,,1,Common,7200,Expanse,,,,,,,,Hyena Tooth
,Light Pegasus Tooth,Accessory,Tooth,plain,0,,,,Light ,10,,,1,Rare,1188,Imperia,,,,,,,,Light Pegasus Tooth
,Lion Tooth,Accessory,Tooth,plain,0,,,,,,AlwaysFace,,1,Infrequent,9072,Imperia,,,,,,,,Lion Tooth
,Owl Beak,Accessory,Tooth,plain,0,,,,,,NegateCharmConfusion,,1,Rare,7740,Nordagh,,,,,,,,Owl Beak
,Ox Tooth,Accessory,Tooth,plain,0,,,,,,HPUP,,1,Infrequent,6048,Imperia,,,,,,,,Ox Tooth
,Serpent Tooth,Accessory,Tooth,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Serpent Tooth
,Turtle Beak,Accessory,Tooth,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Turtle Beak
,Wolf Tooth,Accessory,Tooth,plain,0,,,,,,StrengthUPWithDamage,,1,Very Rare,9504,Nordagh,,,,,,,,Wolf Tooth
,Chainmail Bikini,Armor,Armor,Amazon,46,,5,-10,Air ,8,,,12,Frequent,69696,Nordagh,,,,,,,,Air Chainmail Bikini
,Chainmail Bikini,Armor,Armor,Amazon,46,,5,-10,Earth ,8,,,12,Frequent,69696,Nordagh,,,,,,,,Earth Chainmail Bikini
,Chainmail Bikini,Armor,Armor,Amazon,46,,5,-10,Fire ,8,,,12,Frequent,69696,Nordagh,,,,,,,,Fire Chainmail Bikini
,Chainmail Bikini,Armor,Armor,Amazon,46,,5,-10,Water ,8,,,12,Frequent,69696,Nordagh,,,,,,,,Water Chainmail Bikini
,Cured Bikini,Armor,Armor,Amazon,22,,3,-5,Air ,4,,,6,Common,31944,Expanse,,,,,,,,Air Cured Bikini
,Cured Bikini,Armor,Armor,Amazon,22,,3,-5,Earth ,4,,,6,Common,31944,Expanse,,,,,,,,Earth Cured Bikini
,Cured Bikini,Armor,Armor,Amazon,22,,3,-5,Fire ,4,,,6,Common,31944,Expanse,,,,,,,,Fire Cured Bikini
,Cured Bikini,Armor,Armor,Amazon,22,,3,-5,Water ,4,,,6,Common,31944,Expanse,,,,,,,,Water Cured Bikini
,Leather Bikini,Armor,Armor,Amazon,10,,1,-2,,,,,3,Common,13794,Expanse,,,,,,,,Leather Bikini
,Platemail Bikini,Armor,Armor,Amazon,50,,5,-10,Air ,8,,,13,Infrequent,78650,Imperia,,,,,,,,Air Platemail Bikini
,Platemail Bikini,Armor,Armor,Amazon,50,,5,-10,Earth ,8,,,13,Infrequent,78650,Imperia,,,,,,,,Earth Platemail Bikini
,Platemail Bikini,Armor,Armor,Amazon,50,,5,-10,Fire ,8,,,13,Infrequent,78650,Imperia,,,,,,,,Fire Platemail Bikini
,Platemail Bikini,Armor,Armor,Amazon,50,,5,-10,Water ,8,,,13,Infrequent,78650,Imperia,,,,,,,,Water Platemail Bikini
,Rigid Bikini,Armor,Armor,Amazon,70,,6,-12,Air ,14,,,18,Rare,135036,Imperia,,,,,,,,Air Rigid Bikini
,Belted Wrap,Armor,Armor,Arcane,62,,6,-12,Air ,22,,,16,Rare,19968,Expanse,,,,,,,,Air Belted Wrap
,Belted Wrap,Armor,Armor,Arcane,62,,6,-12,Earth ,22,,,16,Rare,19968,Expanse,,,,,,,,Earth Belted Wrap
,Belted Wrap,Armor,Armor,Arcane,62,,6,-12,Fire ,22,,,16,Rare,19968,Expanse,,,,,,,,Fire Belted Wrap
,Belted Wrap,Armor,Armor,Arcane,62,,6,-12,Water ,22,,,16,Rare,19968,Expanse,,,,,,,,Water Belted Wrap
,Body Wrap,Armor,Armor,Arcane,42,,4,-10,Air ,18,,,11,Infrequent,11968,Expanse,,,,,,,,Air Body Wrap
,Body Wrap,Armor,Armor,Arcane,42,,4,-10,Earth ,18,,,11,Infrequent,11968,Expanse,,,,,,,,Earth Body Wrap
,Body Wrap,Armor,Armor,Arcane,42,,4,-10,Fire ,18,,,11,Infrequent,11968,Expanse,,,,,,,,Fire Body Wrap
,Body Wrap,Armor,Armor,Arcane,42,,4,-10,Water ,18,,,11,Infrequent,11968,Expanse,,,,,,,,Water Body Wrap
,Burlap Wrap,Armor,Armor,Arcane,2,,1,-1,,,,,1,Common,640,Expanse,,,,,,,,Burlap Wrap
,Canvas Robe,Armor,Armor,Arcane,2,,1,-1,,,,,1,Common,640,Imperia,,,,,,,,Canvas Robe
,Collared Cloak,Armor,Armor,Arcane,6,,1,-2,,,,,2,Common,1216,Nordagh,,,,,,,,Collared Cloak
,Cotton Del,Armor,Armor,Arcane,6,,1,-2,,,,,2,Common,1216,Steppes,,,,,,,,Cotton Del
,Cotton Toga,Armor,Armor,Arcane,10,,1,-2,,,,,3,Common,1824,Imperia,,,,,,,,Cotton Toga
,Fine Silk Toga,Armor,Armor,Arcane,26,,3,-5,Air ,14,,,7,Infrequent,7616,Imperia,,,,,,,,Air Fine Silk Toga
