//name, class, customize info, stats, items, skills, school
NUMUNITS: 2173
"Dexamenus","DarkLegionnaire","","StatSet0","ItemSetSD","SkillSetAffD","Warriors of Fortitude"
"Dexios","SamniteImp","","StatSet0","ItemSetIA","SkillSetAffA","Flabios Avengers"
"Dhaulo","SamniteSte","0#School_RedPurple4","StatSet0","ItemSetSF","SkillSetAffF","School of Xandus"
"Dhobharcu","Gungnir","3#Nordagh_15","StatSet0","ItemSetNW","SkillSetAffW","school of past Glory"
"Dholu","Archer","0#School_YellowBlue4","StatSet0","ItemSetSU","SkillSetComb","Borte Hulagu"
"Dhon","DarkLegionnaire","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Dhruba","ArcherF","1#Steppes_16","StatSet0","ItemSetSE","SkillSetAffE","Rangers"
"Dhula","Amazon","1#School_RedPurple3","StatSet0","ItemSetSA","SkillSetAffA","School of Xandus"
"Dhurge","MongrelShaman","3#Nordagh_03","StatSet0","ItemSetSW","SkillSetAffW","Vhyn Vagrants"
"Diarmuid","Berserker","1#berserker06","StatSet0","ItemSetNU","SkillSetComb","The Loosers"
"Dider","BanditA","1#","StatSet0","ItemSetIW","SkillSetAffW","WildernessImperiaOutlaw"
"Didi","GungnirF","3#Nordagh_07","statset0","ItemsetNF","skillsetaffF","Vargen Irregulars"
"Dimitrakos","BanditA","1#","StatSet2","ItemSetIA","SkillSetAffA","WildernessImperiaOutlaw"
"Dirae","BanditAF","2#","StatSet3","ItemSetIE","SkillSetAffE","WildernessImperiaOutlaw"
"Djaper","Summoner","","StatSet0","ItemSetEA","SkillSetAffA","NoSchool"
"Djau","UndeadMeleeExpB","","StatSet0","ItemSetEU","SkillSetComb","WildernessExpanseUndead"
"Djed","Wolf","0#","statset0","ItemsetNE","skillsetaffE","Uvanlig's Motley"
"Djedi","UndeadMeleeExpA","","StatSet1","ItemSetED","SkillSetAffD",""
"Djehuty","Summoner","1#Expanse_03","StatSet0","ItemSetEF","SummonerqstPFF","The Royal Casters"
"Djenutymes","SamniteExp","","StatSet1","ItemSetEU","SkillSetComb","NoSchool"
"Djeserkare","UndeadMeleeSteB","","StatSet0","ItemSetED","SkillSetComb","WildernessExpanseUndead"
"Djhutmose","Summoner","1#Expanse_09","StatSet0","ItemSetEE","SummonerEarthFocus","The Fearsome Foursome"
"D'krik","Scarab","","StatSet0","ItemSetEF","SkillSetAffF","NoSchool"
"Dochin","ArcherF","2#Steppes_14","StatSet0","ItemSetSA","SkillSetAffA",""
"Do'Chorek","Mongrel","3#","StatSet0","ItemSetIE","SkillSetAffE","Executioner"
"Dochur","BanditB","0#School_YellowBlack4","StatSet0","ItemSetSE","SkillSetAffE","School of Suyhron"
"Dodek","Ogre","","StatSet0","ItemSetNA","SkillSetAffA","Story Characters"
"Doireann","BanditAF","3#","statset0","itemsetNE","skillsetcomb",""
"Dojoodorj","SamniteSteF","2#School_YellowGreen4","StatSet0","ItemSetSF","SkillSetAffF","Rywigo Arrowheads"
"Dolina","Galdr","","StatSet0","ItemSetNA","SkillSetAffA","Story Characters"
"Dologhon","CatGreater","0#","statset0","ItemSetSA","SkillSetAffA","Eyes of the Beast"
"Donata","SamniteImpF","2#Imperia_07","StatSet0","ItemSetIA","SkillSetComb","ImperiaOrusLocalRecruits"
"Donatus","SamniteImp","2#Imperia_01","StatSet0","ItemSetIE","SkillSetAffE","ImperiaOrusOrcusDomini"
"Donn","Wolf","4#","statset0","ItemsetNE","skillsetcomb","The Pack"
"Donoven","SecutorImp","","StatSet0","ItemSetIF","SkillSetAffF","ImperiaCerto"
"Doolorj","BanditB","2#","StatSet0","ItemSetSA","SkillSetComb","The Outcasts"
"Dorah","SecutorSteF","1#Steppes_04","statset0","ItemSetSF","SkillSetAffF","Rhun Rhyot"
"Dorben","Cyclops","4#","statset0","ItemSetIA","SkillSetAffA","Krakens"
"Dorina","BanditBF","1#","StatSet0","ItemSetNF","SkillSetAffF","WildernessNordaghOutlaw"
"Dorj","SecutorSte","3#Steppes_03","statset0","ItemSetSF","SkillSetAffF","Poachers"
"Dorjpa","UndeadCasterB","","StatSet0","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Dorota","Peltast","4#Imperia_06","StatSet0","ItemSetIF","SkillSetComb","ImperiaTrikataLocalRecruit"
"Dorothy","GungnirF","0#Nordagh_20","StatSet0","ItemSetSU","SkillSetComb",""
"Dragon","DarkGodDragon","","dragon","","skillsetDarkGodDragon","Dark God"
"Dragon_faces","DarkGodDragon2","","StatSet0","","skillsetdarkgoddragonFace","Dark God"
"Dragon_knights","DarkGodDragon1","","StatSet0","","skillsetdarkgoddragonKnights","Dark God"
"Dragon_shiva","DarkGodDragon3","","StatSet0","","skillsetdarkgoddragonShiva","Dark God"
"Drake","Barbarian","4#Nordagh_07","StatSet0","ItemSetNA","SkillSetComb","Black Band of Seven"
"Drazen","Ogre","","StatSet0","ItemSetSA","SkillSetAffA","ImperiaCroBeast"
"Drosis","CenturionF","3#Imperia_06","StatSet0","ItemSetIE","SkillSetAffE","ImperiaPirgosLocalRecruits"
"Duana","GungnirF","3#Nordagh_10","statset0","ItemsetNE","skillsetaffE","Fliuch Home Guard"
"Dubnovellaunus","Centurion","2#School_BlackBlue2","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosBrutes"
"Duccius","Centurion","2#School_Mutuus","StatSet5","ItemSetIE","SkillSetAffE","School of Mutuus"
"Duibhleamhna","Galdr","","StatSet0","ItemSetNF","SkillSetAffF","School of Past Glory"
"Dukker","SamniteImp","2#Imperia_10","StatSet0","ItemSetIA","SkillSetComb","ImperiaTrikataLocalRecruit"
"Durja","BanditBF","","StatSet0","ItemSetSA","SkillSetAffA","bhilly Bandits"
"Dushara","UndeadMeleeExpB","","StatSet1","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Dynassa","SamniteExpF","0#School_BlackYellow3","statset0","ItemSetEA","skillsetcomb","Femina Formosos"
"Dynomei","MurmilloF","3#School_BlackBlack4","StatSet0","ItemSetIW","SkillSetAffW","Riot Gyhrls"
"Earth Beast_Summoned","BeastEarth","","StatSet0","ItemSetEF","skillsetSumEarth","NoSchool"
"Echemnon","Centurion","1#Imperia_11","StatSet0","ItemSetIA","SkillSetAffA","Vhyn Vagrants"
"Echephron","CitizenSte","4#","StatSet4","ItemSetIE","SkillSetComb","ImperiaTribunal"
"Echion","Bear","1#","StatSet1","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Echione","UndeadMeleeImpB","","StatSet0","ItemSetID","SkillSetAffD","Story Characters"
"Edana","BarbarianF","3#Nordagh_18","statset0","ItemSetNE","skillsetaffE","Vargen Irregulars"
"Edigey","Amazon","3#School_BlackBlack4","statset0","ItemSetSF","SkillSetAffF","Riot Gyhrls"
"Edjo","ChannelerImp","0#School_BlackBlack4","StatSet0","ItemSetEU","SkillSetComb","Riot Gyhrls"
"Edyia","BanditAF","2#","StatSet2","ItemSetIU","SkillSetComb","WildernessImperiaOutlaw"
"Eelor","MongrelShaman","2#Nordagh_08","StatSet0","ItemSetEE","SkillSetAffE","Mikara Jackals"
"Egi","Barbarian","0#Nordagh_10","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Egon","Wolf","4#","statset0","ItemsetNE","skillsetaffE","The Pack"
"Ehkata","Cat","3#","StatSet0","ItemSetEA","SkillSetAffA","School of Osiris"
"Ehrda","BanditBF","0#","StatSet0","ItemSetSA","SkillSetAffA","Bhilly Bandits"
"Ehri","ArcherF","0#School_YellowGreen4","StatSet0","ItemSetSF","SkillSetAffF","Rywigo Arrowheads"
"Eidyia","CenturionF","1#School_BlackYellow2","statset0","ItemSetIA","skillsetcomb","Femina Formosos"
"Eiji","Eiji","0#","StatSet0","ItemSetSAOXM","SkillSetComb",""
"Eiligh","BerserkerF","3#berserker09","statset0","ItemSetNF","skillsetaffF","Morder Tribe"
"Eione","PeltastF","0#School_BlackPurple4","StatSet0","ItemSetIA","SkillSetAffA","Quarry Warriors"
"Eir","Yeti","1#Yeti1","statset0","ItemsetNW","skillsetcomb","The Elders"
"Eistir","BanditBF","1#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghOutlaw"
"Eitai","BanditBF","3#","StatSet2","ItemSetSU","SkillSetComb","WildernessSteppesOutlaw"
"Ekaterina","Cat","3#","StatSet0","ItemSetSA","SkillSetAffA","NoSchool"
"Ekokag","Scarab","3#","StatSet0","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Ekorg","Bear","3#","StatSet2","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Eldred","Murmillo","1#Imperia_02","StatSet0","ItemSetIW","SkillSetAffW","ImperiaTrikataLocalRecruit"
"Elethenda","samniteImpF","0#Imperia_10","statset0","itemsetIF","skillsetcomb","ImperiaSchool"
"Elexander","Minotaur","1#Minotaur2","StatSet4","ItemSetIW","SkillSetComb","The Invaders"
"Elle","Wolf","4#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Emaus","Centurion","1#School_BlackBlue3","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosBrutes"
"Emetkep","Scarab","1#","StatSet0","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Emil","Peltast","1#Imperia_08","statset0","ItemSetIA","skillsetcomb","ImperiaSchool"
"Emilian","Legionnaire","0#School_BlueWhite3","statset0","ItemSetIF","skillsetcomb","BelfortMilitary"
"Emmanaia","BanditAF","3#","StatSet0","ItemSetSW","SkillSetAffW","ImperiaOrusTribunal"
"Enebish","UndeadCasterB","","StatSet1","ItemSetSU","SkillSetComb","WildernessSteppesUndead"
"Enehy","DervishF","","StatSet0","ItemSetEU","SkillSetComb","Whirlwind"
"Enemnogenus","SamniteImp","3#Imperia_10","StatSet0","ItemSetIE","SkillSetAffE","ImperiaOrusOrcusDomini"
"Enestinus","Peltast","1#Imperia_10","StatSet0","ItemSetEF","SkillSetAffF","ImperiaPirgosGallus"
"Engus","Legionnaire","2#School_BlackOrange2","StatSet0","ItemSetIE","SkillSetAffE","Altheas Vipers"
"Enid","BanditBF","2#","StatSet1","ItemSetNE","SkillSetAffE","WildernessNordaghOutlaw"
"Enneber","Archer","4#","StatSet0","ItemSetOnslaught","SkillSetAffF","ImperiaOrusOnslaught"
"Enora","Amazon","0#Steppes_01","StatSet0","ItemSetEW","SkillSetComb","ImperiaSyrnaAntonio"
"Enq","Cat","2#","StatSet0","ItemSetSA","SkillSetAffA","NoSchool"
"Enqi","ArcherF","1#School_YellowBlue5","StatSet0","ItemSetSE","SkillSetAffE","borte Hulagu"
"Enri","Berserker","2#berserker10","statset0","ItemSetNE","skillsetaffE","Leende Tribe"
"Eochagan","Barbarian","","StatSet0","ItemSetNA","SkillSetAffA","ImperiaCroPrisoners"
"Eochaid","Gungnir","1#Nordagh_15","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Eos","Wolf","2#","statset0","ItemSetNE","skillsetcomb","United Packs of Sloan Forest"
"Epios","SamniteImp","2#Imperia_12","StatSet0","ItemSetIF","SkillSetAffF",""
"Epius","DarkLegionnaire","0#Imperia_17","StatSet0","ItemSetIU","SkillSetComb",""
"Eppie","Amazon","4#Steppes_02","StatSet0","ItemSetEA","SkillSetComb","ImperiaSyrnaAntonio"
"Erck","Scarab","0#qstErck.tint","StatSet0","ItemSetEE","SkillSetAffE","NoSchool"
"Erdene","SecutorSteF","1#Steppes_14","statset0","ItemSetSF","skillsetcomb","Poachers"
"Ereon","BanditA","2#","StatSet1","ItemSetIU","SkillSetComb","WildernessImperiaOutlaw"
"Ergein","Berserker","3#berserker07","StatSet0","ItemSetNU","SkillSetComb",""
"Eric","BanditA","4#","StatSet0","ItemSetIU","SkillSetComb","The Loosers"
"Ershut","DarkCat","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Erskin","SamniteImp","","StatSet0","ItemSetIF","SkillSetAffF","ImperiaCerto"
"Eructo","MongrelShaman","4#School_YellowBlack4","StatSet0","ItemSetNU","SkillSetComb","School of Suyhron"
"Erycina","LegionnaireF","1#School_BlackBlack4","StatSet0","ItemSetIE","SkillSetAffE","Riot Gyhrls"
"Eryx","Satyr","0#Satyr1","StatSet0","ItemSetEU","SkillSetComb","Jarha Jesters"
"Esemkhebe","BeastAir","","StatSet0","ItemSetEA","skillsetSumAir","The Fearsome Foursome"
"Ete","BerserkerF","4#School_RedYellow2","Statset0","ItemSetNF","skillsetaffF","Fliuch Falcons"
"Eua","BerserkerF","1#berserker01","StatSet0","ItemSetNW","SkillSetAffW",""
"Eunestu","Legionnaire","4#Imperia_01","StatSet0","ItemSetSA","SkillSetAffA","Warriors of Fortitude"
"Eunos","CitizenImp","3#Imperia_03","StatSet4","itemsetIU","qstInvasion","Citizen of Imperia"
"Eurias","Bear","1#","StatSet1","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Euribia","Centurion","1#Imperia_08","StatSet0","ItemSetIE","SkillSetAffE","School of Past Glory"
"Eurymon","Murmillo","1#School_BlackRed1","StatSet5","ItemsetNW","skillsetcomb","Shadow of the Empire"
"Eurynas","MurmilloF","0#Imperia_11","StatSet0","ItemSetIA","SkillSetAffA","Rhun Rhyot"
"Eurypsi","DarkLegionnaire","","StatSet3","ItemSetID","SkillSetComb","WildernessExpanseDark"
"Eurysse","DarkLegionnaire","","StatSet0","ItemSetID","SkillSetAffD","Story Characters"
"Eurystheus","Murmillo","2#School_YellowBlue4","StatSet0","ItemSetIU","SkillSetComb","Borte Hulagu"
"Eurysto","Murmillo","","StatSet0","ItemSetIU","SkillSetComb","Baneful Berserkers"
"Eva","BerserkerF","2#berserker08","statset0","ItemSetNF","skillsetaffF","Leende Tribe"
"Evander","Legionnaire","2#Imperia_14","StatSet0","ItemSetIA","SkillSetComb","ImperiaOrusLocalRecruits"
"Everildia","Amazon","0#School_BlackYellow2","StatSet2","ItemSetEW","SkillSetAffW","Femina Formosos"
"Evleen","GungnirF","","StatSet0","ItemSetNE","SkillSetAffE","Nordagh Ringers"
"Exuro","BeastFireGreater","","StatSet0","ItemSetEF","SkillSetgreaterfire","Story Characters"
"Fabianus","Peltast","3#Imperia_17","StatSet0","ItemSetIW","SkillSetComb","ImperiaPirgosGallus"
"Fadil","UndeadCasterA","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Fagin","Wolf","1#","statset0","ItemsetNE","skillsetaffE","The Pack"
"Fahey","Peltast","","StatSet0","ItemSetIF","SkillSetAffF","ImperiaCerto"
"Fainah","Summoner","","StatSet0","ItemSetEW","SkillSetAffW","Well Diggers"
"Faira","BanditAF","3#","StatSet0","ItemSetEW","SkillSetAffW","WildernessExpanseOutlaw"
"Falakika","Summoner","4#qstHellGateFire","StatSet1","itemsetHGFire","SummonerHGFire","qstHellGateSchoolFire"
"Falthin","berserker","4#berserker14","statset0","ItemSetNF","skillsetcomb","NordaghSchool"
"Fang","Wolf","1#","StatSet0","ItemSetIE","SkillSetAffE","Beware of Dog"
"Fareeza","Summoner","","StatSet0","ItemSetED","SummonerDarkFocus","Story Characters"
"Fargona","Cat","2#","StatSet0","ItemSetEA","SkillSetAffA","Spellcasters"
"Farrell","Satyr","2#Satyr1","statset0","ItemsetNF","skillsetaffF","Masters of the Glade"
"Farwuq","Mongrel","3#Nordagh_13","StatSet0","ItemSetIE","SkillSetComb","ImperiaMawLocalRecruits"
"Fatma","Cat","1#","StatSet1","ItemSetSU","SkillSetComb","WildernessSteppesPuma"
"Fay","BarbarianF","0#Nordagh_15","StatSetW","ItemSetNA","SkillSetTrain","Fliuch Home Guard"
"Fayrouz","DervishF","","StatSet0","ItemSetEA","SkillSetAffA","NoSchool"
"Fearful Statue A","PropStatue","","statue","","prop_fear","Dynamic Statues"
"Fearful Statue B","PropStatue","","statue","","prop_fear","Dynamic Statues"
"Fearful Statue C","PropStatue","","statue","","prop_fear","Dynamic Statues"
"Fearful Statue D","PropStatue","","statue","","prop_fear","Dynamic Statues"
"Fearghall","Barbarian","2#Nordagh_05","StatSet0","ItemSetNW","SkillSetAffW",""
"Fedilia","Wolf","1#","statset0","itemsetNE","skillsetcomb","BelfortBeast"
"Feeak","Satyr","3#Satyr1","StatSet0","ItemSetIA","SkillSetComb","Shepards of Sloan"
"Feiona","BanditBF","2#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghOutlaw"
"Fellippo","Legionnaire","1#School_BlueWhite2","statset0","ItemSetIA","skillsetcomb","BelfortMilitary"
"Fenrir","Wolf","4#","statset0","ItemSetNE","skillsetcomb","United Packs of Sloan Forest"
"Fenyang","Summoner","2#Expanse_10","StatSet0","ItemSetEA","SummonerAirFocus","The Fearsome Foursome"
"Ferdinand","Murmillo","3#","StatSet3","ItemSetIW","SkillSetAffW","ImperiaPirgosMunio"
"Fhakru","UndeadCasterA","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Fiacha","MongrelShaman","1#School_YellowGreen4","StatSet0","ItemSetNA","SkillSetAffA","Rywigo Arrowheads"
"Fial","BerserkerF","3#berserker09","statset0","itemsetNF","skillsetaffF",""
"Fiery Statue A","PropStatue","0#","statue","","prop_fire","Dynamic Statues"
"Fiery Statue B","PropStatue","0#","statue","","prop_fire","Dynamic Statues"
"Fiery Statue C","PropStatue","0#","statue","","prop_fire","Dynamic Statues"
"Fiery Statue D","PropStatue","0#","statue","","prop_fire","Dynamic Statues"
"Fiery Statue E","PropStatue","","statue","","prop_fire","Dynamic Statues"
"Fiery Statue F","PropStatue","","statue","","prop_fire","Dynamic Statues"
"Fiery Statue G","PropStatue","","statue","","prop_fire","Dynamic Statues"
"Fiery Statue H","PropStatue","","statue","","prop_fire","Dynamic Statues"
"Filip","Gungnir","3#","StatSet0","ItemSetNA","SkillSetComb","Black Band of Seven"
"Filius","SecutorImp","2#Imperia_12","StatSet5","ItemSetIF","SkillSetAffF","ImperiaOrusOrcusDomini"
"Filmon","Centurion","","StatSet0","ItemSetIA","SkillSetAffA","Flabios Avengers"
"Finn","Wolf","0#","statset0","ItemsetNE","skillsetaffE","The Pack"
"Finnar","Barbarian","2#Nordagh_07","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Finvarra","Galdr","","StatSet0","ItemSetNE","SkillSetAffE","Story Characters"
"Fionna","GungnirF","0#School_PurpleTurq2","statset0","ItemsetNA","skillsetcomb","Krigare School"
"Fire Beast_Summoned","BeastFire","","StatSet0","ItemSetEF","skillsetSumFire","NoSchool"
"Fishheads","PropBarrel","","statue","ItemSetNU","prop_BarrelNorm","RollOutTheBarrels"
"Fjorgyn","Wolf","1#","StatSet0","ItemSetSE","SkillSetAffE","NoSchool"
"Flippo","Satyr","3#Satyr1","StatSet0","ItemSetNE","SkillSetAffE","Rhun Rhyot"
"Flora","Wolf","4#","StatSetW","ItemSetNE","SkillSetTrain","Fliuch Home Guard"
"Folau","Summoner","4#qstHellGateFire","StatSet1","itemsetHGFire","summonerHGFire","qstHellGateSchoolFire"
"Foosan","Satyr","3#Satyr1","StatSet0","ItemSetIA","SkillSetAffA","ImperiaSyrnaPropSchool"
"Fortuna","MurmilloF","2#","StatSet4","ItemSetIW","SkillSetAffW","ImperiaPirgosMunio"
"Fraff","Bear","2#","StatSet0","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Francis","Legionnaire","0#Imperia_11","StatSet0","ItemSetIA","SkillSetComb",""
"Freezing Statue A","PropStatue","","statue","","prop_frozen","Dynamic Statues"
"Freezing Statue B","PropStatue","","statue","","prop_frozen","Dynamic Statues"
"Freezing Statue C","PropStatue","","statue","","prop_frozen","Dynamic Statues"
"Freezing Statue D","PropStatue","","statue","","prop_frozen","Dynamic Statues"
"Frek","Berserker","1#School_PurpleTurq4","statset0","ItemSetNF","skillsetaffF","Krigare School"
"Frey","Wolf","1#","StatSet0","ItemSetNE","SkillSetAffE","WildernessImperiaWolf"
"Freyda","BarbarianF","0#Nordagh_04","StatSet0","ItemSetNF","SkillSetAffF",""
"Freyhq","Wolf","","StatSet0","ItemSetNE","SkillSetAffE","eyes of the Beast"
"Freyr","Bear","","StatSet0","ItemSetNE","SkillSetAffE","School of past Glory"
"Frias","Mongrel","1#Nordagh_03","StatSet0","ItemSetIW","SkillSetAffW","ImperiaMawLocalRecruits"
"Fromash","Mongrel","0#Nordagh_10","StatSet0","ItemSetNA","SkillSetAffA",""
"Frontinus","SamniteImp","0#Imperia_12","StatSet0","ItemSetIE","SkillSetAffE","ImperiaOrusOrcusDomini"
"Fulvio","SamniteImp","3#School_BlackBlue3","StatSet5","ItemSetIF","SkillSetComb","ImperiaPirgosBrutes"
"Furdain","Legionnaire","3#","statset0","ItemSetIA","SkillSetAffA","ImperiaBelfortLocalRecruits"
"Gaafa","UndeadMeleeImpA","","StatSet0","ItemSetSU","SkillSetComb","WildernessSteppesUndead"
"Gael","Berserker","2#School_PurpleTurq3","statset0","ItemSetNF","skillsetcomb","Krigare School"
"Gagkt","MongrelShaman","3#Nordagh_12","StatSet1","ItemSetNA","SkillSetAffA","WildernessNordaghMonster"
"Gahiji","Dervish","","StatSet0","ItemSetEU","SkillSetComb","NoSchool"
"Gaia","TitanEarth","","StatSet0","ItemSetID","skillsetboss","Story Characters"
"Gaines","Legionnaire","","StatSet0","ItemSetIF","SkillSetAffF","ImperiaCerto"
"Gaireth","Wolf","","StatSet0","ItemSetSE","SkillSetAffE","Borte Hulagu"
"Gal","Ogre","1#Ogre_14","statset0","ItemSetSW","SkillSetAffW","Poachers"
"Galaise","Centurion","0#School_BlueWhite1","statset0","ItemSetIW","skillsetcomb","BelfortMilitary"
"Galaxaura","ChannelerImp","","StatSet0","ItemSetSA","SkillSetAffA","Vhyn Vagrants"
"Galays","Galdr","1#Nordagh_15","statset0","ItemsetNF","skillsetaffF","The Harbingers"
"Galdr","Galdr","4#Nordagh_07","statset0","itemsetNA","skillsetcomb","NordaghSchool"
"Galdr Adept 1","Galdr","4#Nordagh_01","statset0","itemSetNA","skillsetcombo","NordaghSchool"
"Galdr Adept 2","Galdr","1#Nordagh_17","statset0","itemsetNE","skillsetCombo",""
"Galdr Protector","Berserker","3#berserker15","statset0","ItemSetNE","skillsetcombo",""
"Galene","SecutorImpF","2#Imperia_10","statset0","ItemSetEU","SkillSetComb","NoSchool"
"Galia","LegionnaireF","1#Imperia_07","StatSet0","ItemSetIW","SkillSetAffW","ImperiaPirgosLocalRecruits"
"Gall","Barbarian","1#Nordagh_15","statset0","ItemSetNA","skillsetaffA","Dragonheart Militia"
"Gallverg","Galverg","0#","statset0","itemsetGalverg","skillsetcomb","Story Characters"
"Galverg","Galverg","","StatSet5","itemsetGalverg","SkillSetAffD","NoSchool"
"Gan","SecutorSte","2#Steppes_15","statset0","ItemSetSF","SkillSetAffF","Poachers"
"Ganigas","Cat","4#","StatSet3","ItemSetSA","SkillSetAffA","WildernessSteppesTiger"
"Gar","Barbarian","4#Nordagh_08","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Garai","Dervish","4#","StatSet1","ItemSetEF","SkillSetAffF","WildernessExpanseOutlaw"
"Garee","Legionnaire","3#School_BlackOrange2","StatSet0","ItemSetIW","SkillSetAffW","Altheas Vipers"
"Garsan","secutorImp","1#Imperia_02","statset0","ItemSetIF","skillsetcomb","ImperiaSchool"
"Gary","Murmillo","4#","StatSet0","ItemSetIU","SkillSetComb","The Loosers"
"Gaulus","Centurion","3#School_BlueWhite3","statset0","ItemSetIE","skillsetcomb","BelfortMilitary"
"Gawel","WolfGreater","4#","StatSet5","itemsetNE","skillsetcomb","ImperiaBelfortLycanthropes"
"Geero","Mongrel","2#School_YellowBlack4","StatSet0","ItemSetIU","SkillSetComb","School of Suyhron"
"Gefje","Wolf","","StatSet0","ItemSetNE","SkillSetAffE","eyes of the Beast"
"Gefjon","Bear","","StatSet0","ItemSetNE","SkillSetAffE","School of past Glory"
"Gehane","ChannelerImp","","StatSet0","ItemSetEW","SkillSetAffW","Well Diggers"
"Geir","Barbarian","1#School_BlueWhite3","statset0","ItemSetNE","SkillSetAffE","Children of Mjolnir"
"Genghis","Archer","0#qstSniper","StatSet1","itemsetSniper","SkillSetAffW","Snipers"
"Gentle Ben","Bear","1#","statset0","itemsetNE","skillsetcomb","NoSchool"
"Georgius","Murmillo","2#Imperia_12","StatSet0","ItemSetIW","SkillSetComb","ImperiaTrikataLocalRecruit"
"Gerel","Berserker","4#berserker07","statset0","ItemSetSU","skillsetcomb","Vhyn Vagrants"
"Gerlf","Bear","2#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Ghartun","Archer","3#","StatSet1","ItemSetSF","SkillSetAffF","WildernessSteppesOutlaw"
"Gharza","UndeadCasterB","","StatSet2","ItemSetND","SkillSetAffD","Mortuus' Minions"
"Ghazan","BanditA","2#","StatSet0","ItemSetSA","SkillSetAffA","WildernessSteppesOutlaw"
"Ghen","BanditBF","","StatSet0","ItemSetSW","SkillSetAffW","NoSchool"
"Ghokch","Archer","0#Steppes_13","StatSet0","ItemSetSF","SkillSetAffF","Rangers"
"Gibidh","Yeti","1#Yeti5","StatSet0","ItemSetNW","SkillSetAffW","School of Past Glory"
"Gilleabart","MongrelShaman","0#Nordagh_14","StatSet0","ItemSetNE","SkillSetAffE","Mongrel Shamen"
"Gillian","BanditAF","3#","Statset0","ItemSetNA","skillsetaffA","Scum of the Earth"
"Gilroy","Satyr","4#Satyr1","statset0","ItemsetNW","skillsetaffW","The Sylvan Ones"
"Gina","Wolf","0#","statset0","ItemsetNE","skillsetcomb","The Pack"
"Gioll","BanditA","1#","StatSet0","ItemSetIE","SkillSetAffE","ImperiaMawLocalRecruits"
"Giollamhuire","Gungnir","1#Nordagh_13","StatSet0","ItemSetNW","SkillSetAffW","Eyes of the Beast"
"Gitta","BerserkerF","4#berserker05","statset0","ItemSetNF","skillsetcomb","Leende Tribe"
"Giurgi","UndeadMeleeNorA","","StatSet1","ItemSetSU","SkillSetComb","WildernessSteppesUndead"
"Gnaeus","Wolf","1#","StatSet1","ItemSetIE","SkillSetAffE","WildernessImperiaBeast"
"Gnalug","Ogre","0#School_BlueGreen5","StatSet0","ItemSetEU","SkillSetComb","School of Osiris"
"Godigisclus","BanditA","2#","StatSet0","ItemSetEA","SkillSetAffA","ImperiaOrusTribunal"
"Godor","Wolf","2#","StatSet2","ItemSetNE","SkillSetAffE","WildernessImperiaWolf"
"Goff","Mongrel","3#Nordagh_08","StatSet0","ItemSetIE","SkillSetComb","ImperiaMawLocalRecruits"
"Gog","Yeti","1#Yeti4","statset0","ItemsetNW","skillsetaffW","The Elders"
"Gombo","Ogre","1#Ogre_03","statset0","itemsetIW","SkillSetAffW","Krakens"
"Goraclo","Centurion","1#School_RedPurple4","statset0","ItemSetIW","skillsetcomb","School of Xandus"
"Goraidh","UndeadMeleeNorA","0#Nordagh_06","statset0","ItemsetND","skillsetcomb","Death after Death"
"Goras","BanditA","2#","StatSet0","ItemSetIF","SkillSetComb","WildernessImperiaOutlaw"
"Gorgian","WolfGreater","3#","StatSet5","itemsetNE","skillsetcomb","ImperiaBelfortLycanthropes"
"Gorgias","Murmillo","3#School_BlackRed2","StatSet5","ItemsetNW","skillsetcomb","Shadow of the Empire"
"Gozen","UndeadMeleeSteB","","StatSet2","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Gra Bekta","Mongrel","3#School_YellowGreen4","StatSet0","ItemSetIF","SkillSetAffF","Rywigo Arrowheads"
"Grace","BanditAF","0#","StatSet0","ItemSetNW","SkillSetAffW",""
"Gradey","Satyr","3#Satyr1","StatSet0","ItemSetNE","SkillSetComb","Shepards of Sloan"
"Grahbek","Mongrel","3#Nordagh_01","StatSet0","ItemSetSW","SkillSetAffW","NoSchool"
